island,site,transect,lat,long,depth,status,install,survey,months,coral_cover,rugosity,coral_prod,cca_prod,gross_prod,macro_ero,micro_ero,urchin_ero,parrot_ero,gross_ero,net_prod,RAPmax,ACRA,ACRO,ACRT,POCB,STYB,SERB,PORB,HCB,PORM,ISOS,HCM,HCE,HCP,FUN,Other,parrot_biom
Salisi Besar,SBD3,1,-4.932403006,119.31646,3,degraded,,23/05/2023,-3,9.567617295,1.087,1.49268355,0.004036146,1.496719696,0.160512,0.231084,0.016853258,0.665257625,1.073706883,0.423012813,0.335150691,0,0,0,0,0,0.30039237,0,0,0.41393264,0.367030046,0.262550947,0.068256114,0,0.080521434,0.37,3.045838549
Salisi Besar,SBD3,2,-4.932403006,119.31646,3,degraded,,23/05/2023,-3,8.640864086,1.111,1.467796204,0,1.467796204,0.18392,0.257022,0.016853258,0.665257625,1.123052883,0.344743321,0.302246345,0,0.136571785,0,0,0,0,0,0,0.370363071,0,0.677266304,0.283595043,0,0,0,3.045838549
Salisi Besar,SBD3,3,-4.932403006,119.31646,3,degraded,,23/05/2023,-3,5.992509363,1.068,1.149216409,0,1.149216409,0.171171,0.231346,0.016853258,0.665257625,1.084627883,0.064588526,0.16061051,0,0.299588085,0,0,0,0,0,0,0.849628324,0,0,0,0,0,0,3.045838549
Salisi Besar,SBD3,4,-4.932403006,119.31646,3,degraded,,23/05/2023,-3,2.807971014,1.104,0.53931453,0,0.53931453,0.202312,0.263048,0.016853258,0.665257625,1.147470883,-0.608156353,-0.164240889,0,0,0,0,0,0.112647139,0,0,0.312270314,0,0,0.114397078,0,0,0,3.045838549
Salisi Besar,SBD2,1,-4.931780985,119.316612,2.5,degraded,,16/05/2023,-2,1.538461538,1.105,0.193059315,0,0.193059315,0.140866,0.181042,0.003971127,0.613059327,0.938938454,-0.745879139,-0.257140753,0,0,0,0,0,0,0,0,0.098042399,0,0,0.095016916,0,0,0,3.255670778
Salisi Besar,SBD2,2,-4.931780985,119.316612,2.5,degraded,,16/05/2023,-2,4.035087719,1.14,1.287116631,0,1.287116631,0.177023,0.234752,0.003971127,0.613059327,1.028805454,0.258311178,0.248182438,0,0,0.927656822,0,0,0,0,0,0.359459809,0,0,0,0,0,0,3.255670778
Salisi Besar,SBD2,3,-4.931780985,119.316612,2.5,degraded,,16/05/2023,-2,0,1.012,0,0,0,0.150898,0.189164,0.003971127,0.613059327,0.957092454,-0.957092454,-0.359067256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.255670778
Salisi Besar,SBD2,4,-4.931780985,119.316612,2.5,degraded,,16/05/2023,-2,0.596421471,1.006,0.033899636,0,0.033899636,0.12331,0.156152,0.003971127,0.613059327,0.896492454,-0.862592818,-0.319173219,0,0,0,0,0,0,0,0,0,0,0,0.033899636,0,0,0,3.255670778
Salisi Besar,SBD1,1,-4.930635011,119.316119,2.5,degraded,,31/08/2022,-1,1.694915254,0.944,0.30880627,0,0.30880627,0.174933,0.223486,0.006566658,1.412464736,1.817450394,-1.508644124,-0.526336189,0,0.054628714,0,0,0,0,0,0,0.254177556,0,0,0,0,0,0,3.404010403
Salisi Besar,SBD1,2,-4.930635011,119.316119,2.5,degraded,,31/08/2022,-1,5.263157895,1.026,0.997237363,0,0.997237363,0.148808,0.200692,0.006566658,1.412464736,1.768531394,-0.771294031,-0.168309697,0,0,0,0,0,0,0,0,0.239654366,0,0.757582997,0,0,0,0,3.404010403
Salisi Besar,SBD1,3,-4.930635011,119.316119,2.5,degraded,,31/08/2022,-1,1.06075217,1.037,0.172274022,0,0.172274022,0.174724,0.221914,0.006566658,1.412464736,1.815669394,-1.643395372,-0.592997459,0,0,0,0,0.139752388,0,0,0,0,0,0,0.032521635,0,0,0,3.404010403
Salisi Besar,SBD1,4,-4.930635011,119.316119,2.5,degraded,,31/08/2022,-1,4.519230769,1.04,0.498480521,0,0.498480521,0.08987,0.124974,0.006566658,1.412464736,1.633875394,-1.135394873,-0.362857321,0,0,0,0,0,0,0,0,0.06899602,0.209731455,0,0.219753046,0,0,0,3.404010403
Salisi Besar,SBRN1,1,-4.93041087,119.3159512,3.5,0,03/05/2023,24/05/2023,1,26.23688156,1.334,6.881232823,0,6.881232823,0.181412,0.333788,0.005251076,1.200016889,1.720467965,5.160764858,6.406113747,0,4.050122049,0,0,0,0.093872616,0,0.279461892,0.098042399,0,1.775590217,0.58414365,0,0,0,5.43085204
Salisi Besar,SBRN1,2,-4.93041087,119.3159512,3.5,0,03/05/2023,24/05/2023,1,25.10121457,1.482,7.830604685,0,7.830604685,0.213807,0.377804,0.005251076,1.200016889,1.796878965,6.03372572,7.431671257,0,3.755637329,0,0,1.048142907,0.413039509,0.101855675,0.069865473,0.871434848,0,0.911983005,0.658645939,0,0,0,5.43085204
Salisi Besar,SBRN1,3,-4.93041087,119.3159512,3.5,0,03/05/2023,24/05/2023,1,12.0777027,1.184,3.472569288,0,3.472569288,0.199595,0.307588,0.005251076,1.200016889,1.712450965,1.760118323,2.494285563,0,2.319110823,0,0,0.55900955,0.150196185,0.140051553,0.228430908,0,0,0.07577027,0,0,0,0,5.43085204
Salisi Besar,SBRN1,4,-4.93041087,119.3159512,3.5,0,03/05/2023,24/05/2023,1,13.18770227,1.236,3.896303183,0,3.896303183,0.212553,0.312042,0.005251076,1.200016889,1.729862965,2.166440218,2.970411163,0,2.168040939,0,0.629504818,0,0.150196185,0,0.34581587,0.098042399,0,0.355719568,0.148983404,0,0,0,5.43085204
Salisi Besar,SBRN2,1,-4.931137353,119.3161639,2.5,0,15/03/2023,24/05/2023,2,15.40383014,1.201,7.531914602,0,7.531914602,0.207746,0.309422,0.011275529,0.672647956,1.201091485,6.330823117,7.622255906,0,3.249422957,3.606474185,0,0.186336517,0,0.254639187,0.235041757,0,0,0,0,0,0,0,2.609255502
Salisi Besar,SBRN2,2,-4.931137353,119.3161639,2.5,0,15/03/2023,24/05/2023,2,20.66052227,1.302,13.20382554,0,13.20382554,0.215897,0.341124,0.011275529,0.672647956,1.240944485,11.96288106,14.12298651,0.463855409,3.159824838,8.944444822,0,0.419257163,0,0.216443309,0,0,0,0,0,0,0,0,2.609255502
Salisi Besar,SBRN2,3,-4.931137353,119.3161639,2.5,0,15/03/2023,24/05/2023,2,15.28348398,1.217,6.833702764,0,6.833702764,0.197714,0.296584,0.011275529,0.672647956,1.178221485,5.655481279,6.837529449,0.066265058,3.006203272,2.761362157,0,0.419257163,0,0.458350536,0.122264578,0,0,0,0,0,0,0,2.609255502
Salisi Besar,SBRN2,4,-4.931137353,119.3161639,2.5,0,15/03/2023,24/05/2023,2,13.60759494,1.264,6.863134469,0,6.863134469,0.228228,0.331168,0.011275529,0.672647956,1.243319485,5.619814983,6.813989317,0.298192763,3.073590399,2.788877088,0.228910843,0,0,0.038195878,0.332322341,0,0,0,0.103045157,0,0,0,2.609255502
Salisi Besar,SBRN3,1,-4.931523725,119.3163585,2.5,0,09/03/2023,24/05/2023,3,17.46293245,1.214,6.429440856,0,6.429440856,0.157168,0.252568,0,0.321573904,0.731309904,5.698130952,6.755603723,0.265060234,4.533255586,0.666264974,0.457821686,0.256212711,0,0.140051553,0.110774114,0,0,0,0,0,0,0,1.201033774
Salisi Besar,SBRN3,2,-4.931523725,119.3163585,2.5,0,09/03/2023,24/05/2023,3,13.39214114,1.247,4.909366323,0,4.909366323,0.22572,0.326714,0,0.321573904,0.874007904,4.035358419,4.87729169,0,2.089519393,0.707537371,0.972871083,1.024850842,0,0.114587634,0,0,0,0,0,0,0,0,1.201033774
Salisi Besar,SBRN3,3,-4.931523725,119.3163585,2.5,0,09/03/2023,24/05/2023,3,16.44583009,1.283,8.647451159,0,8.647451159,0.219868,0.330906,0,0.321573904,0.872347904,7.775103255,9.187348017,0.82831323,3.75639148,3.372597269,0,0.209628581,0,0,0,0.268700745,0,0.090237665,0.121582188,0,0,0,1.201033774
