island,site,transect,status,short,size,taxa,morphology
Salisi Besar,SBD1,1,degraded,acrb,2,Acropora,caespitose
Salisi Besar,SBD1,1,degraded,porm,4,Porites,massive
Salisi Besar,SBD1,1,degraded,porm,10,Porites,massive
Salisi Besar,SBD1,2,degraded,porm,9,Porites,massive
Salisi Besar,SBD1,2,degraded,gonm,11,Goniastrea,massive
Salisi Besar,SBD1,2,degraded,porm,4,Porites,massive
Salisi Besar,SBD1,2,degraded,favm,30,Favia,massive
Salisi Besar,SBD1,3,degraded,styb,6,Stylophora,branching
Salisi Besar,SBD1,3,degraded,lepe,5,Leptastrea,encrusting
Salisi Besar,SBD1,4,degraded,pore,4,Porites,encrusting
Salisi Besar,SBD1,4,degraded,porm,3,Porites,massive
Salisi Besar,SBD1,4,degraded,cype,6,Cyphastrea,encrusting
Salisi Besar,SBD1,4,degraded,lepe,13,Leptastrea,encrusting
Salisi Besar,SBD1,4,degraded,fate,5,Favites,encrusting
Salisi Besar,SBD1,4,degraded,isos,16,Isopora,submassive
Salisi Besar,SBD2,1,degraded,mope,12,Montipora,encrusting
Salisi Besar,SBD2,1,degraded,porm,5,Porites,massive
Salisi Besar,SBD2,2,degraded,acrt,23,Acropora,table
Salisi Besar,SBD2,2,degraded,porm,23,Porites,massive
Salisi Besar,SBD2,4,degraded,lepe,6,Leptastrea,encrusting
Salisi Besar,SBD3,1,degraded,isos,28,Isopora,submassive
Salisi Besar,SBD3,1,degraded,mope,2,Montipora,encrusting
Salisi Besar,SBD3,1,degraded,fun,3,Fungia,freeliving
Salisi Besar,SBD3,1,degraded,porm,3,Porites,massive
Salisi Besar,SBD3,1,degraded,porm,22,Porites,massive
Salisi Besar,SBD3,1,degraded,galm,10,Galaxea,massive
Salisi Besar,SBD3,1,degraded,galm,12,Galaxea,massive
Salisi Besar,SBD3,1,degraded,asrm,8,Astrea,massive
Salisi Besar,SBD3,1,degraded,serb,16,Seriatopora,branching
Salisi Besar,SBD3,2,degraded,gonm,8,Goniastrea,massive
Salisi Besar,SBD3,2,degraded,psae,11,Psammocora,encrusting
Salisi Besar,SBD3,2,degraded,fate,3,Favites,encrusting
Salisi Besar,SBD3,2,degraded,pore,2,Porites,encrusting
Salisi Besar,SBD3,2,degraded,psae,4,Psammocora,encrusting
Salisi Besar,SBD3,2,degraded,pore,2,Porites,encrusting
Salisi Besar,SBD3,2,degraded,porm,17,Porites,massive
Salisi Besar,SBD3,2,degraded,porm,5,Porites,massive
Salisi Besar,SBD3,2,degraded,acrb,5,Acropora,caespitose
Salisi Besar,SBD3,2,degraded,gonm,17,Goniastrea,massive
Salisi Besar,SBD3,2,degraded,dism,7,Dipsastraea,massive
Salisi Besar,SBD3,2,degraded,pore,3,Porites,encrusting
Salisi Besar,SBD3,2,degraded,dism,6,Dipsastraea,massive
Salisi Besar,SBD3,2,degraded,fatm,6,Favites,massive
Salisi Besar,SBD3,3,degraded,acro,9,Acropora,corymbose
Salisi Besar,SBD3,3,degraded,porm,11,Porites,massive
Salisi Besar,SBD3,3,degraded,porm,44,Porites,massive
Salisi Besar,SBD3,4,degraded,porm,13,Porites,massive
Salisi Besar,SBD3,4,degraded,porm,5,Porites,massive
Salisi Besar,SBD3,4,degraded,serb,6,Seriatopora,branching
Salisi Besar,SBD3,4,degraded,pore,2,Porites,encrusting
Salisi Besar,SBD3,4,degraded,pore,2,Porites,encrusting
Salisi Besar,SBD3,4,degraded,asre,3,Astrea,encrusting
Salisi Besar,SBRN1,1,0,serb,5,Seriatopora,branching
Salisi Besar,SBRN1,1,0,acrb,2,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,3,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,5,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,7,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acro,12,Acropora,corymbose
Salisi Besar,SBRN1,1,0,acro,8,Acropora,corymbose
Salisi Besar,SBRN1,1,0,acrb,4,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,3,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,1,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acro,7,Acropora,corymbose
Salisi Besar,SBRN1,1,0,acrb,3,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,6,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acro,10,Acropora,corymbose
Salisi Besar,SBRN1,1,0,acrb,2,Acropora,caespitose
Salisi Besar,SBRN1,1,0,fatm,15,Favites,massive
Salisi Besar,SBRN1,1,0,acrb,2,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,2,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acro,10,Acropora,corymbose
Salisi Besar,SBRN1,1,0,hydb,2,Hydnophora,branching
Salisi Besar,SBRN1,1,0,mope,5,Montipora,encrusting
Salisi Besar,SBRN1,1,0,mope,6,Montipora,encrusting
Salisi Besar,SBRN1,1,0,porm,5,Porites,massive
Salisi Besar,SBRN1,1,0,acrb,10,Acropora,caespitose
Salisi Besar,SBRN1,1,0,mope,16,Montipora,encrusting
Salisi Besar,SBRN1,1,0,pore,28,Porites,encrusting
Salisi Besar,SBRN1,1,0,pore,6,Porites,encrusting
Salisi Besar,SBRN1,1,0,pore,10,Porites,encrusting
Salisi Besar,SBRN1,1,0,plam,16,Platygyra,massive
Salisi Besar,SBRN1,1,0,gonm,14,Goniastrea,massive
Salisi Besar,SBRN1,1,0,pore,18,Porites,encrusting
Salisi Besar,SBRN1,1,0,psae,10,Psammocora,encrusting
Salisi Besar,SBRN1,1,0,psae,4,Psammocora,encrusting
Salisi Besar,SBRN1,1,0,fatm,38,Favites,massive
Salisi Besar,SBRN1,1,0,acrb,8,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,5,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,3,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,8,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,6,Acropora,caespitose
Salisi Besar,SBRN1,1,0,acrb,11,Acropora,caespitose
Salisi Besar,SBRN1,1,0,hydb,11,Hydnophora,branching
