ID,genus,morphology,taxa,density,growth,growth_se
54,Pocillopora,branching,POC,1.836231585,3.421718164,0.2714542
55,Pocillopora,branching,POC,2.026825482,2.693464068,0.275366342
56,Pocillopora,branching,POC,1.758332127,3.728596667,0.17995477
57,Pocillopora,branching,POC,1.834279901,3.986200784,0.225298999
58,Pocillopora,branching,POC,1.956297801,3.5348206,0.264584859
59,Pocillopora,branching,POC,1.834782774,3.64925241,0.338788376
60,Pocillopora,branching,POC,1.994702992,3.748711895,0.240354313
61,Stylophora,branching,STY,1.430885545,4.234014314,0.253526357
62,Stylophora,branching,STY,1.598784671,3.262727843,0.182795963
63,Stylophora,branching,STY,1.491842552,,
64,Stylophora,branching,STY,1.444914901,3.876743725,0.203276249
65,Stylophora,branching,STY,1.640701157,3.516710588,0.203471617
66,Stylophora,branching,STY,1.450648448,4.222420196,0.098385238
67,Stylophora,branching,STY,1.489550936,4.410130392,0.167506963
68,Acropora,corymbose/tabular,ACRO/T,0.724392139,12.7640208,0.723522758
69,Acropora,corymbose/tabular,ACRO/T,0.807607435,11.17455988,0.85605611
70,Acropora,corymbose/round,ACRO,1.406136083,6.751259,0.305936358
71,Acropora,corymbose/tabular,ACRO/T,1.041017358,11.2782518,0.474624773
72,Acropora,corymbose/round,ACRO,1.088019814,6.3804774,0.242175771
73,Acropora,corymbose/round,ACRO,1.568199225,6.0121048,0.417072861
75,Acropora,arborescent,ACRA,1.30897153,,
76,Acropora,arborescent,ACRA,0.70068476,13.34522054,0.59118777
78,Acropora,arborescent,ACRA,1.086776363,9.0759148,0.219283706
80,Acropora,arborescent,ACRA,0.954421102,13.7964907,0.347145951
82,Porites,branching,PORB,1.204567021,3.418152,0.145242265
83,Porites,branching,PORB,1.367007581,3.522931333,0.119834856
84,Porites,branching,PORB,1.172574497,2.49733,0.505582151
85,Porites,branching,PORB,1.343149358,4.0034076,0.156384527
86,Porites,branching,PORB,1.093965277,3.8535532,0.123726249
88,Porites,branching,PORB,1.187601288,3.514585,0.145773954
89,Acropora,corymbose/round,ACRO,1.201173874,6.2024158,0.199452049
91,Acropora,corymbose/tabular,ACRO/T,0.917563376,11.34477169,0.437952656
92,Acropora,corymbose/round,ACRO,1.191954338,6.933167671,0.265530468
93,Acropora,corymbose/tabular,ACRO/T,1.025098186,13.2228506,0.363688271
94,Acropora,hispidose,ACRH,0.903321816,6.936319277,0.253077248
96,Isopora,submassive,ISO,,1.564974,
97,Isopora,submassive,ISO,1.363339523,1.170181275,
98,Isopora,submassive,ISO,1.23001562,1.434406375,
99,Isopora,submassive,ISO,1.33153383,0.695552209,
100,Isopora,submassive,ISO,,0.776574,
101,Isopora,submassive,ISO,1.248926964,0.438876,
103,Hydnophora,branching,HYD,1.992601521,3.292754418,0.103486708
104,Hydnophora,branching,HYD,1.842709921,3.375326506,0.11622853
105,Hydnophora,branching,HYD,1.720127636,3.648534137,0.145853414
106,Hydnophora,branching,HYD,1.405219436,3.145141968,0.125457664
107,Hydnophora,branching,HYD,1.524745907,2.984537298,0.833097782
108,Hydnophora,branching,HYD,1.623435279,2.81608494,0.168459515
109,Hydnophora,branching,HYD,1.433499686,,
110,Seriatopora,branching,SER,1.433218827,,
111,Seriatopora,branching,SER,1.715962678,,
114,Seriatopora,branching,SER,1.526915942,5.383339558,0.194208506
116,Seriatopora,branching,SER,1.472026807,,
